OrderID,Region,Category,OrderValue,Units,OrderDate
1,Northeast,Electronics,112.79,1,2025-10-23
2,Northeast,Stationery & Books,92.16,2,2025-10-28
3,Central,Pet Supplies,5759.94,4,2025-10-21
4,South,Sports & Fitness,1697.44,4,2025-09-01
5,East,Home,220.97,3,2025-10-25
6,East,Pet Supplies,4521.71,4,2025-09-06
7,North,Stationery & Books,6962.8,5,2025-11-04
8,South,Electronics,7889.16,2,2025-10-22
9,North,Toys & Games,1719.91,3,2025-11-04
10,South,Home,5068.48,2,2025-11-27
11,Central,Pharmacy,466.43,5,2025-10-27
12,South,Beauty & Personal Care,64.45,3,2025-09-08
13,West,Home,2860.08,4,2025-11-02
14,West,Sports & Fitness,302.62,3,2025-10-19
15,Northeast,Pet Supplies,2144.91,2,2025-11-14
16,Central,Sports & Fitness,1646.31,2,2025-10-16
17,Northeast,Toys & Games,4468.36,5,2025-11-16
18,North,Electronics,6264.49,3,2025-11-08
19,North,Home,7068.9,3,2025-09-01
20,Central,Apparel,2738.34,5,2025-09-14
21,Central,Pharmacy,6339.7,5,2025-10-20
22,North,Pet Supplies,213.34,3,2025-09-03
23,South,Groceries,1142.4,4,2025-11-02
24,North,Stationery & Books,7601.37,2,2025-09-17
25,East,Stationery & Books,6164.49,2,2025-09-28
26,Northeast,Home,3785.75,5,2025-11-25
27,West,Electronics,4912.32,2,2025-10-17
28,Central,Pharmacy,80.33,1,2025-11-04
29,East,Electronics,2106.78,2,2025-10-06
30,Northeast,Pet Supplies,6556.23,2,2025-10-02
31,North,Electronics,7881.24,1,2025-09-07
32,North,Toys & Games,135.59,4,2025-09-14
33,South,Toys & Games,465.47,4,2025-10-29
34,Central,Electronics,7767.47,2,2025-11-01
35,South,Toys & Games,7268.32,2,2025-09-28
36,West,Groceries,6388.47,3,2025-10-04
37,West,Stationery & Books,147.97,1,2025-09-20
38,Central,Stationery & Books,312.88,5,2025-10-25
39,Central,Apparel,133.62,5,2025-10-31
40,North,Pharmacy,317.53,5,2025-11-12
41,North,Toys & Games,7510.3,2,2025-11-12
42,Northeast,Beauty & Personal Care,340.48,4,2025-10-27
43,East,Electronics,7970.72,1,2025-11-03
44,Central,Pharmacy,7106.48,2,2025-09-17
45,East,Home,5087.58,5,2025-11-01
46,North,Stationery & Books,445.16,3,2025-11-24
47,North,Electronics,322.17,3,2025-09-20
48,South,Home,6845.78,1,2025-10-03
49,Northeast,Toys & Games,397.0,3,2025-09-06
50,South,Sports & Fitness,83.86,2,2025-11-11
51,Central,Groceries,3723.4,1,2025-11-14
52,East,Beauty & Personal Care,2075.57,2,2025-09-06
53,Northeast,Electronics,3547.83,5,2025-11-11
54,Northeast,Apparel,7821.55,2,2025-10-01
55,West,Groceries,3587.85,2,2025-10-25
56,East,Apparel,790.43,4,2025-09-14
57,South,Pharmacy,7034.92,2,2025-10-10
58,North,Pharmacy,7751.67,3,2025-10-06
59,East,Stationery & Books,707.0,3,2025-11-08
60,South,Pet Supplies,318.46,3,2025-10-04
61,Northeast,Beauty & Personal Care,4824.41,3,2025-09-15
62,North,Toys & Games,7551.97,2,2025-11-01
63,East,Toys & Games,5173.67,1,2025-11-05
64,Northeast,Home,3518.0,3,2025-11-25
65,Central,Apparel,5579.88,2,2025-11-05
66,Central,Pet Supplies,2779.06,2,2025-11-10
67,West,Pet Supplies,3816.2,2,2025-10-12
68,Central,Sports & Fitness,2628.4,5,2025-09-22
69,East,Electronics,2184.8,2,2025-10-01
70,South,Groceries,6263.67,4,2025-10-30
71,West,Pet Supplies,2329.88,1,2025-10-27
72,North,Toys & Games,4680.54,1,2025-10-31
73,West,Apparel,4691.94,3,2025-11-25
74,West,Pet Supplies,1693.68,4,2025-11-10
75,West,Home,399.95,4,2025-11-21
